"Compare","Antismash","SEMPI","PRISM","PRISM-Supp","ARTS","DeepBGC","GECCO","RRE-Finder","RippMiner","Emerald/SanntiS","Group"
"1","1","1","1","NA","NA","NA","1","NA","NA","1","group_1"
"2","2","NA","NA","2,3","2","6","2","NA","NA","2","group_2"
"3","3","NA","2","NA","NA","11","NA","1","1","3","group_3"
"4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","group_4"
"5","4","3","3","NA","NA","NA","4","NA","NA","5","group_5"
"6","5","NA","NA","NA","9","38","NA","NA","NA","NA","group_6"
"7","6","NA","NA","NA","14","45","NA","NA","NA","8","group_7"
"8","NA","NA","NA","NA","15","50","5","NA","NA","9","group_8"
"9","7","NA","5","NA","NA","NA","NA","NA","NA","10","group_9"
"10","8","10","7","NA","NA","66","7","NA","NA","14","group_10"
"11","9","NA","8","NA","55,56","NA","NA","NA","NA","15","group_11"
"12","10","12","9","51,52,53","60","70","9","NA","NA","17","group_12"
"13","11","18","10","89,90,91,92","98","97","10","NA","NA","19","group_13"
"14","12","NA","NA","NA","NA","NA","NA","NA","NA","20","group_14"
"15","13","19","11","NA","NA","100","11","NA","NA","21","group_15"
"16","14","NA","NA","100","NA","NA","NA","NA","NA","23","group_16"
"17","15","20","12","103,104","NA","NA","12","NA","NA","24","group_17"
"18","17","NA","NA","107","NA","NA","NA","NA","NA","NA","group_18"
"19","19","23","13","110","130","117","14","NA","NA","26","group_19"
"20","19","23","13","NA","NA","117","14","NA","NA","26","group_20"
"21","20","25","14","NA","NA","119","15","NA","NA","27","group_21"
"22","21","NA","15","NA","NA","NA","NA","NA","3","NA","group_22"
"23","22","NA","NA","NA","137,138","NA","16","NA","NA","28","group_23"
"24","23","28","16","NA","NA","NA","17","NA","NA","29","group_24"
"25","24","NA","17","NA","NA","131","NA","2","4","30","group_25"
"26","25","NA","NA","NA","150","NA","NA","NA","NA","31","group_26"
"27","27","33","18","NA","NA","161","20","NA","NA","32","group_27"
"28","27","33","18","NA","NA","161","20","NA","NA","32","group_28"
"29","27","NA","NA","125","NA","161","20","NA","NA","32","group_29"
"30","3","NA","2,19","4","NA","11","NA","1","1","3","group_30"
"NA","18,26","4,7,8,17,32","4,6,19","1,7,8,15,17,18,19,20,28,34,35,36,43,50,51,52,53,54,61,62,63,65,66,67,70,85,89,90,91,92,95,103,104,109,111,112,113,114,119,121,123,124","5,8,12,20,27,42,43,44,52,53,54,55,59,68,69,70,77,89,101,102,125,129,131,137,138,140,141,157,160","8,13,15,30,51,64,157,166,168","13,19","","2","6,11,12,16,18,22,25","group_31"
